SAMPLE	HAP	PAF	TARGET	TARGET_SIZE	QUERY_FA	TARGET_FA	TARGET_TIG	Comb-TAG
NA12879_2_haplotype2-0000086_chr22	NA12879_2_chr22	classify_alns/qry_contig_pafs/NA12879_2_haplotype2-0000086_chr22.iden99.aln1Mb.paf	NA12878_2_haplotype2-0000037_chr22	14249002	variants/NA12879_2_haplotype2-0000086_chr22/NA12879_2_haplotype2-0000086_chr22.fa	variants/NA12879_2_haplotype2-0000086_chr22/NA12878_2_haplotype2-0000037_chr22.fa	Non-Recomb
NA12883_1_haplotype1-0000019_chr21	NA12883_1_chr21	classify_alns/qry_contig_pafs/NA12883_1_haplotype1-0000019_chr21.iden99.aln1Mb.paf	NA12878_1_haplotype1-0000009_chr21	15767408	variants/NA12883_1_haplotype1-0000019_chr21/NA12883_1_haplotype1-0000019_chr21.fa	variants/NA12883_1_haplotype1-0000019_chr21/NA12878_1_haplotype1-0000009_chr21.fa	Non-Recomb
NA12883_1_haplotype1-0000004_chr13	NA12883_1_chr13	classify_alns/qry_contig_pafs/NA12883_1_haplotype1-0000004_chr13.iden99.aln1Mb.paf	NA12878_2_haplotype2-0000030_chr13	15383585	variants/NA12883_1_haplotype1-0000004_chr13/NA12883_1_haplotype1-0000004_chr13.fa	variants/NA12883_1_haplotype1-0000004_chr13/NA12878_2_haplotype2-0000030_chr13.fa	Non-Recomb
NA12887_2_haplotype2-0000093_chr14	NA12887_2_chr14	classify_alns/qry_contig_pafs/NA12887_2_haplotype2-0000093_chr14.iden99.aln1Mb.paf	NA12877_2_haplotype2-0000056_chr14	15041313	variants/NA12887_2_haplotype2-0000093_chr14/NA12887_2_haplotype2-0000093_chr14.fa	variants/NA12887_2_haplotype2-0000093_chr14/NA12877_2_haplotype2-0000056_chr14.fa	Non-Recomb
NA12884_1_haplotype1-0000010_chr21	NA12884_1_chr21	classify_alns/qry_contig_pafs/NA12884_1_haplotype1-0000010_chr21.iden99.aln1Mb.paf	NA12878_2_haplotype2-0000032_chr21	14275008	variants/NA12884_1_haplotype1-0000010_chr21/NA12884_1_haplotype1-0000010_chr21.fa	variants/NA12884_1_haplotype1-0000010_chr21/NA12878_2_haplotype2-0000032_chr21.fa	Non-Recomb
NA12882_1_haplotype1-0000004_chr22	NA12882_1_chr22	classify_alns/qry_contig_pafs/NA12882_1_haplotype1-0000004_chr22.iden99.aln1Mb.paf	NA12877_1_haplotype1-0000020_chr22	17727125	variants/NA12882_1_haplotype1-0000004_chr22/NA12882_1_haplotype1-0000004_chr22.fa	variants/NA12882_1_haplotype1-0000004_chr22/NA12877_1_haplotype1-0000020_chr22.fa	Non-Recomb
NA12886_1_haplotype1-0000027_chr15	NA12886_1_chr15	classify_alns/qry_contig_pafs/NA12886_1_haplotype1-0000027_chr15.iden99.aln1Mb.paf	NA12878_1_haplotype1-0000007_chr15;NA12878_2_haplotype2-0000044_chr15	20005708;15390473	variants/NA12886_1_haplotype1-0000027_chr15/NA12886_1_haplotype1-0000027_chr15.fa	variants/NA12886_1_haplotype1-0000027_chr15/NA12878_1_haplotype1-0000007_chr15_NA12878_2_haplotype2-0000044_chr15.fa	Recomb
NA12884_2_haplotype2-0000071_chr22	NA12884_2_chr22	classify_alns/qry_contig_pafs/NA12884_2_haplotype2-0000071_chr22.iden99.aln1Mb.paf	NA12877_1_haplotype1-0000020_chr22	17727125	variants/NA12884_2_haplotype2-0000071_chr22/NA12884_2_haplotype2-0000071_chr22.fa	variants/NA12884_2_haplotype2-0000071_chr22/NA12877_1_haplotype1-0000020_chr22.fa	Non-Recomb
NA12884_1_haplotype1-0000016_chr13	NA12884_1_chr13	classify_alns/qry_contig_pafs/NA12884_1_haplotype1-0000016_chr13.iden99.aln1Mb.paf	NA12877_1_haplotype1-0000001_chr13	15321457	variants/NA12884_1_haplotype1-0000016_chr13/NA12884_1_haplotype1-0000016_chr13.fa	variants/NA12884_1_haplotype1-0000016_chr13/NA12877_1_haplotype1-0000001_chr13.fa	Non-Recomb
NA12886_2_haplotype2-0000091_chr22	NA12886_2_chr22	classify_alns/qry_contig_pafs/NA12886_2_haplotype2-0000091_chr22.iden99.aln1Mb.paf	NA12877_1_haplotype1-0000020_chr22	17727125	variants/NA12886_2_haplotype2-0000091_chr22/NA12886_2_haplotype2-0000091_chr22.fa	variants/NA12886_2_haplotype2-0000091_chr22/NA12877_1_haplotype1-0000020_chr22.fa	Non-Recomb
NA12882_2_haplotype2-0000122_chr13	NA12882_2_chr13	classify_alns/qry_contig_pafs/NA12882_2_haplotype2-0000122_chr13.iden99.aln1Mb.paf	NA12878_2_haplotype2-0000030_chr13	15383585	variants/NA12882_2_haplotype2-0000122_chr13/NA12882_2_haplotype2-0000122_chr13.fa	variants/NA12882_2_haplotype2-0000122_chr13/NA12878_2_haplotype2-0000030_chr13.fa	Non-Recomb
NA12886_1_haplotype1-0000015_chr22	NA12886_1_chr22	classify_alns/qry_contig_pafs/NA12886_1_haplotype1-0000015_chr22.iden99.aln1Mb.paf	NA12878_1_haplotype1-0000008_chr22;NA12878_2_haplotype2-0000037_chr22	19871268;14249002	variants/NA12886_1_haplotype1-0000015_chr22/NA12886_1_haplotype1-0000015_chr22.fa	variants/NA12886_1_haplotype1-0000015_chr22/NA12878_1_haplotype1-0000008_chr22_NA12878_2_haplotype2-0000037_chr22.fa	Recomb
